CustomerID,Lookalikes
C0001,"[('C0181', np.float64(0.9825917663903168)), ('C0120', np.float64(0.9673521107522699)), ('C0184', np.float64(0.9556318984948193))]"
C0002,"[('C0088', np.float64(0.9945523637851618)), ('C0106', np.float64(0.9644075151115983)), ('C0134', np.float64(0.9332816518779844))]"
C0003,"[('C0031', np.float64(0.9525197015209648)), ('C0052', np.float64(0.9473409959603507)), ('C0195', np.float64(0.9437744374737483))]"
C0004,"[('C0165', np.float64(0.9638695673001999)), ('C0169', np.float64(0.9553730024934476)), ('C0087', np.float64(0.9487533780955291))]"
C0005,"[('C0140', np.float64(0.9954378616640539)), ('C0186', np.float64(0.9925151328029139)), ('C0146', np.float64(0.9751791759377736))]"
C0006,"[('C0126', np.float64(0.977210146497454)), ('C0118', np.float64(0.9737220472757072)), ('C0011', np.float64(0.9701065712432229))]"
C0007,"[('C0146', np.float64(0.9984651560852914)), ('C0115', np.float64(0.9849726552425548)), ('C0186', np.float64(0.9807912149409038))]"
C0008,"[('C0160', np.float64(0.9301058445875232)), ('C0038', np.float64(0.8967441242331496)), ('C0065', np.float64(0.8688347797321334))]"
C0009,"[('C0061', np.float64(0.9768519093222081)), ('C0198', np.float64(0.972433143169383)), ('C0103', np.float64(0.9545680002576795))]"
C0010,"[('C0111', np.float64(0.9779083617307509)), ('C0062', np.float64(0.9485297173425736)), ('C0198', np.float64(0.8478687174874447))]"
C0011,"[('C0137', np.float64(0.9874458968245365)), ('C0126', np.float64(0.9838785133581477)), ('C0191', np.float64(0.9772370749550634))]"
C0012,"[('C0163', np.float64(0.9911414525661535)), ('C0113', np.float64(0.9644439534414663)), ('C0195', np.float64(0.9585315840634616))]"
C0013,"[('C0099', np.float64(0.9875175722896581)), ('C0108', np.float64(0.9405406540642237)), ('C0107', np.float64(0.8679110504633556))]"
C0014,"[('C0060', np.float64(0.953303972192547)), ('C0172', np.float64(0.9139573920545705)), ('C0166', np.float64(0.8509353180469678))]"
C0015,"[('C0131', np.float64(0.973263518827126)), ('C0125', np.float64(0.908897278500191)), ('C0185', np.float64(0.9002473520672012))]"
C0016,"[('C0042', np.float64(0.9602222094783066)), ('C0183', np.float64(0.919206979145765)), ('C0067', np.float64(0.8797998323825738))]"
C0017,"[('C0041', np.float64(0.9653132075720747)), ('C0075', np.float64(0.9583716010651618)), ('C0057', np.float64(0.950516046177925))]"
C0018,"[('C0122', np.float64(0.9785969220765145)), ('C0046', np.float64(0.9753005306327854)), ('C0194', np.float64(0.959007225344543))]"
C0019,"[('C0073', np.float64(0.9967935067088093)), ('C0132', np.float64(0.9790257635391605)), ('C0070', np.float64(0.9581973451369888))]"
C0020,"[('C0035', np.float64(0.8737782468654565)), ('C0050', np.float64(0.8618907609334008)), ('C0154', np.float64(0.839355474202608))]"
